timestamp,probability_gt_threshold,confidence,betting_action,risk_level,target,bet_amount,status,result,actual,profit_loss,bankroll_before,bankroll_after,reason,model_type
2025-12-15T23:25:10.288359,0.6885,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.4,100.0,57500.0,57600.0,High probability: 68.85% with confidence 54.68%,bayesian_sequence
2025-12-15T23:25:37.307966,0.6993,54.67999999999999,BET,LOW,2.0,100.0,completed,win,3.11,100.0,57600.0,57700.0,High probability: 69.93% with confidence 54.68%,bayesian_sequence
2025-12-15T23:26:05.311044,0.7322,54.67999999999999,BET,LOW,2.0,100.0,completed,win,4.62,100.0,57700.0,57800.0,High probability: 73.22% with confidence 54.68%,bayesian_sequence
2025-12-15T23:26:31.987816,0.7635,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.39,100.0,57800.0,57900.0,High probability: 76.35% with confidence 54.68%,bayesian_sequence
2025-12-15T23:26:54.443699,0.7933,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.69,100.0,57900.0,58000.0,High probability: 79.33% with confidence 54.68%,bayesian_sequence
2025-12-15T23:27:23.737804,0.7989,54.67999999999999,BET,LOW,2.0,100.0,completed,win,4.41,100.0,58000.0,58100.0,High probability: 79.89% with confidence 54.68%,bayesian_sequence
2025-12-15T23:27:53.080943,0.8042,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.7,100.0,58100.0,58200.0,High probability: 80.42% with confidence 54.68%,bayesian_sequence
2025-12-15T23:28:32.417278,0.8092,54.67999999999999,BET,LOW,2.0,100.0,completed,win,11.34,100.0,58200.0,58300.0,High probability: 80.92% with confidence 54.68%,bayesian_sequence
2025-12-15T23:28:55.990592,0.7509,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.47,-100.0,58300.0,58200.0,High probability: 75.09% with confidence 54.68%,bayesian_sequence
2025-12-15T23:29:20.107374,0.7586,54.67999999999999,BET,LOW,2.0,100.0,completed,win,5.49,100.0,58200.0,58300.0,High probability: 75.86% with confidence 54.68%,bayesian_sequence
2025-12-15T23:29:48.978019,0.7659,54.67999999999999,BET,LOW,2.0,100.0,completed,win,3.0,100.0,58300.0,58400.0,High probability: 76.59% with confidence 54.68%,bayesian_sequence
2025-12-15T23:30:03.343178,0.7097,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.02,-100.0,58400.0,58300.0,High probability: 70.97% with confidence 54.68%,bayesian_sequence
2025-12-15T23:30:58.910525,0.7421,54.67999999999999,BET,LOW,2.0,100.0,completed,win,41.32,100.0,58300.0,58400.0,High probability: 74.21% with confidence 54.68%,bayesian_sequence
2025-12-15T23:31:27.076571,0.7729,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.14,100.0,58400.0,58500.0,High probability: 77.29% with confidence 54.68%,bayesian_sequence
2025-12-15T23:31:48.505580,0.7164,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.72,-100.0,58500.0,58400.0,High probability: 71.64% with confidence 54.68%,bayesian_sequence
2025-12-15T23:31:59.935932,0.6627,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.54,-100.0,58400.0,58300.0,High probability: 66.27% with confidence 54.68%,bayesian_sequence
2025-12-15T23:32:15.877153,0.6343,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.11,-100.0,58300.0,58200.0,High probability: 63.43% with confidence 54.68%,bayesian_sequence
2025-12-15T23:32:38.009890,0.6478,54.67999999999999,BET,LOW,2.0,100.0,completed,win,2.46,100.0,58200.0,58300.0,High probability: 64.78% with confidence 54.68%,bayesian_sequence
2025-12-15T23:33:35.968133,0.6607,54.67999999999999,BET,LOW,2.0,100.0,completed,win,72.97,100.0,58300.0,58400.0,High probability: 66.07% with confidence 54.68%,bayesian_sequence
2025-12-15T23:33:54.900618,0.6097,54.67999999999999,BET,LOW,2.0,100.0,completed,loss,1.57,-100.0,58400.0,58300.0,High probability: 60.97% with confidence 54.68%,bayesian_sequence
2025-12-15T23:34:11.448041,0.5613,54.67999999999999,SMALL_BET,MEDIUM,2.0,100.0,completed,loss,1.72,-100.0,58300.0,58200.0,Moderate probability: 56.13% with confidence 54.68%,bayesian_sequence
